"Year","Plot","Tag","Morphoname","Taxon","Identification.uncertain","X..cm.","Y..cm.","Tag.offset.x..cm.","Tag.offset.y..cm.","Died.this.census","Died.this.census.final","Length..cm.","Height..cm.","X..Capitulescences","Is.seedling","Number.of.individuals.represented.by.tag","Length.per.individual..cm.","Height.per.individual..cm.","Notes"
2019,15,"1801","Lupinus argenteus","Lupinus argenteus",0,55,170,-10,-10,1,TRUE,0,0,0,0,1,,,"dead"
2019,15,"190","Ivesia gordonii","Ivesia gordonii",0,177,177,0,10,0,FALSE,15,5.5,7,0,1,,,
2019,15,"198","Arenaria congesta","Arenaria congesta",0,107,80,-10,-10,0,FALSE,11,5.5,0,0,1,,,
2019,15,"2220","Heterotheca villosa","Heterotheca villosa",0,101,165,-10,-10,0,FALSE,10.5,5,3,0,1,,,"CR recounted flowers on 14 September"
2019,16,"1149","Ivesia gordonii","Ivesia gordonii",0,38,33,-5,-5,0,FALSE,5.5,5.5,0,0,1,,,
2019,16,"1161","Eriogonum umbellatum","Eriogonum umbellatum",0,121,45,-10,-10,0,FALSE,19,5,8,0,1,,,
2019,16,"1162","Ivesia gordonii","Ivesia gordonii",0,110,52,-10,-10,0,FALSE,14,7.5,6,0,1,,,
2019,16,"1579","Arnica latifolia","Arnica latifolia",0,43,30.5,-10,-10,0,FALSE,8,6.5,0,0,1,,,
2019,16,"1582","Eriogonum umbellatum","Eriogonum umbellatum",0,52,45,-5,-5,0,FALSE,6,3.5,0,0,1,,,
2019,16,"1810","Eriogonum umbellatum","Eriogonum umbellatum",0,42,47,-10,-10,1,TRUE,0,0,0,0,1,,,"dead"
2019,16,"1821","Eriogonum umbellatum","Eriogonum umbellatum",0,127,65,-10,-10,1,TRUE,0,0,0,0,1,,,"dead"
2019,16,"2371","Elymus lanceolatus","Elymus lanceolatus",0,66,63,-10,-10,0,FALSE,51,30.5,18,0,1,,,
2019,16,"275","Ivesia gordonii","Ivesia gordonii",0,158,171,-10,-10,0,FALSE,15,7.5,10,0,1,,,
2019,16,"279","Elymus lanceolatus","Elymus lanceolatus",0,31,94,10,0,0,FALSE,46,38.5,31,0,1,,,
2019,17,"1591","Elymus lanceolatus","Elymus lanceolatus",0,31,78,-10,-10,1,TRUE,0,0,0,0,1,,,"dead"
2019,17,"1825","Agoseris glauca","Agoseris glauca",0,104,76,-10,-10,0,FALSE,6,7.5,1,0,1,,,
2019,17,"1826","Lupinus argenteus","Lupinus argenteus",0,90,85,-10,-10,1,TRUE,0,0,0,0,1,,,"dead"
